Finance,,Consumer Staples,,Communication Services,,Consumer Discretionary,,Energy,,Health Care,,Industrial,,Materials,,Real Estate,,Tech,,Utilities,
BRK-B-N,Berkshire Hathaway Cl B,KDP,Keurig Dr Pepper Inc,META-Q,Meta Platforms Inc,DLTR-Q,Dollar Tree Inc,MRO-N,Marathon Oil Corp,CI-N,The Cigna Group,CTAS-Q,Cintas Corp,FMC-N,FMC Corp,HST,Host Marriott Financial Trust,BR-N,Broadridge Financial Solutions Llc,ES-N,Eversource Energy
BRO-N,Brown &amp; Brown,KHC,Kraft Heinz Company,MTCH-Q,Match Group Inc,DPZ-N,Domino&#39;s Pizza Inc,OKE-N,Oneok Inc,CNC-N,Centene Corp,DAL-N,Delta Air Lines Inc,IFF-N,International Flavors &amp; Fragrances,INVH,Invitation Homes Inc,CDNS-Q,Cadence Design Sys,ETR-N,Entergy Corp
C-N,Citigroup Inc,KMB,Kimberly-Clark Corp,NFLX-Q,Netflix Inc,DRI-N,Darden Restaurants,OXY-N,Occidental Petroleum Corp,COO-N,Cooper Companies,DE-N,Deere &amp; Company,IP-N,International Paper Company,IRM,Iron Mountain Inc,CDW-Q,CDW Corp,EVRG-Q,Evergy Inc
CB-N,Chubb Ltd,KO,Coca-Cola Company,NWS-Q,News Corp Cl B,EBAY-Q,Ebay Inc,PSX-N,Phillips 66,CRL-N,Charles River Laboratories Intl,DOV-N,Dover Corp,LIN-N,Linde Plc,KIM,Kimco Realty Corp,CDAY-N,Ceridian Hcm Holding Inc,EXC-Q,Exelon Corp
CBOE-A,CBOE Global Markets Inc,KR,Kroger Company,NWSA-Q,News Corp Cl A,ETSY-Q,Etsy Inc,PXD-N,Pioneer Natural Resources Company,CTLT-N,Catalent Inc,EFX-N,Equifax Inc,LYB-N,Lyondellbasell Industries NV,MAA,Mid-America Apartment Communities,CSCO-Q,Cisco Systems Inc,FE-N,Firstenergy Corp
CFG-N,Citizens Financial Group Inc/Ri,LW,Lamb Weston Holdings Inc,OMC-N,Omnicom Group Inc,EXPE-Q,Expedia Group Inc,SLB-N,Schlumberger N.V.,CVS-N,CVS Corp,EMR-N,Emerson Electric Company,MLM-N,Martin Marietta Materials,O,Realty Income Corp,CTSH-Q,Cognizant Tech Sol,LNT-Q,Alliant Energy Corp
CINF-Q,Cincinnati Financial,MDLZ,Mondelez Intl Inc,PARA-Q,Paramount Global Cl B,F-N,Ford Motor Company,TRGP-N,Targa Resources,DGX-N,Quest Diagnostics Inc,ETN-N,Eaton Corp,MOS-N,Mosaic Company,PEAK,Healthpeak Properties Inc,GLW-N,Corning Inc,NEE-N,Nextera Energy
CMA-N,Comerica Inc,MKC,Mccormick &amp; Company,T-N,AT&T Inc,GM-N,General Motors Company,VLO-N,Valero Energy Corp,DHR-N,Danaher Corp,EXPD-Q,Expeditors Intl,NEM-N,Newmont Mining Corp,PLD,Prologis Inc,DXC-N,Dxc Technology Company,NI-N,NiSource Inc
CME-Q,CME Group Inc,MNST,Monster Beverage Cp,TMUS-Q,T-Mobile US,GPC-N,Genuine Parts Company,WMB-N,Williams Companies,DVA-N,Davita Healthcare Partners Inc,FAST-Q,Fastenal Company,NUE-N,Nucor Corp,PSA,Public Storage,ENPH-Q,Enphase Energy Inc,NRG-N,NRG Energy
COF-N,Capital One Financial Corp,MO,Altria Group,TTWO-Q,Take-Two Interactive,GRMN-N,Garmin Ltd,XOM-N,Exxon Mobil Corp,DXCM-Q,Dexcom Inc,FDX-N,Fedex Corp,PKG-N,Packaging Corp of America,REG,Regency Centers Corp,EPAM-N,Epam Systems Inc,PCG-N,Pacific Gas &amp; Electric Company
DFS-N,Discover Financial Services,PEP,Pepsico Inc,VZ-N,Verizon Communications Inc,HAS-Q,Hasbro Inc,,,ELV-N,Elevance Health Inc,FTV-N,Fortive Corp,PPG-N,PPG Industries,SBAC,SBA Communications,FFIV-Q,F5 Inc,PEG-N,Public Service Enterprise Group Inc
FDS-N,Factset Research Systems Inc,PG,Procter &amp; Gamble Company,WBD-Q,Discovery Inc Series A,HD-N,Home Depot,,,EW-N,Edwards Lifesciences Corp,GD-N,General Dynamics Corp,SEE-N,Sealed Air Corp,SPG,Simon Property Group,FIS-N,Fidelity National Information Services,PNW-N,Pinnacle West Capital Corp
FITB-Q,Fifth Third Bancorp,PM,Philip Morris International Inc,,,HLT-N,Hilton Inc,,,GEHC-Q,Ge Healthcare Technologies Inc,GE-N,General Electric Company,SHW-N,Sherwin-Williams Company,UDR,United Dominion Realty Trust,FSLR-Q,First Solar Inc,PPL-N,PPL Corp
FRC-N,First Republic Bank,SJM,J.M. Smucker Company,,,KMX-N,Carmax Inc,,,GILD-Q,Gilead Sciences Inc,GNRC-N,Generac Holdings Inc,STLD-Q,Steel Dynamics Inc,VICI,Vici Properties Inc,FISV-Q,Fiserv Inc,SO-N,Southern Company
